nombre_mat,cod_materia,semestre
ACTIVIDAD INTEGRADORA A,1862,1
ACTIVIDAD INTEGRADORA B,1863,1
ADMINISTRACION DE OPERACIONES,1915,1
ADMINISTRACION GENERAL PARA INGENIEROS,1944,1
ADMINISTRACION Y SEGURIDAD DE SISTEMAS,1918,1
AGRIMENSURA LEGAL 1,1910,1
AGRIMENSURA LEGAL 3,1817,1
ALISTAMIENTO NAVAL,2601,1
ANALISIS SEMANTICO DE LENGUAJE NATURAL,1864,1
ANALISIS Y CONTROL DE SIST. NO LINEALES,5913,1
ANTENAS Y PROPAGACION,5817,1
ARQUITECTURA DE COMPUTADORAS,TI05,1
ASPECTOS AVANZ. DE REDES DE COMPUTADORAS,1448,1
AVALUACIONES 3,2023,1
BASES DE DATOS II,TI13,1
BASES DE DATOS NO RELACIONALES,1949,1
BATERIAS RECARGABLES Y CELDAS DE COMBUSTIBLE,Q47,1
CALCULO DIF. E INTEGRAL EN UNA VARIABLE,1061,1
CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,1062,1
CALCULO VECTORIAL,1063,1
CALIDAD DE AGUAS,1854,1
CAMINOS Y CALLES 1,2231,1
CAPTURA DE DATOS POR PERCEPCION REMOTA,TCI24,1
CARTOGRAFIA MATEMATICA,TCI13,1
CARTOGRAFIA MATEMATICA,1420,1
COMPETENCIAS ROBOTICAS-IEEE SEK,TI45,1
COMPORTAMIENTO MEC. DE MATERIALES,TIM52,1
COMPORTAMIENTO MECANICO DE MATERIALES 1,1764,1
COMPRESION DE DATOS SIN PERDIDA,1352,1
COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.,1447,1
COMPUTACION DE ALTA PERFORMANCE,1434,1
COMUNICACION ORAL Y ESCRITA (ACT.COMPL3),TI15,1
COMUNICACIONES DIGITALES,1462,1
CONTABILIDAD (ACT.COMPL.4),TI14,1
CONTROL DE CALIDAD,TIM61,1
CONTROL NUMERICO COMPUTARIZADO 1,TIM56,1
COSTOS,2240,1
CRIPTOGRAFIA,1545,1
DESARR.DE APLIC.BASAD.EN TECNOL.GENEXUS,TI22,1
DIDACTICA DE ALGORIT.Y ESTRUCT.DE DATOS,1353,1
DINAMICA Y CONTROL DE PROCESOS,Q94,1
DISEÑO ASISTIDO POR COMPUTADOR,TIM55,1
DISEÑO DE PROCESOS QUIMICOS,Q196,1
DISEÑO HIDROLOGICO,2399,1
DISEÑO LOGICO 2,1534,1
EJERCICIOS DE INGENIERIA SANITARIA,2309,1
ELASTICIDAD,2366,1
ELECTRONICA AVANZADA 2,5717,1
ELECTRONICA DE POTENCIA,5609,1
ELECTRONICA FUNDAMENTAL,5715,1
ELECTROTECNICA,5850,1
ELECTROTECNICA I,2108,1
ELEMENTOS DE GESTION LOGISTICA,2244,1
ELEMENTOS DE MAQUINAS,1720,1
ELEMENTOS DE MECANICA DE LOS FLUIDOS,1805,1
ELEMENTOS DE TOPOGRAFIA,2230,1
ENERGIA 1- COMBUSTION,1850,1
ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,2394,1
ESTIMACION Y PREDICCION EN SERIES TEMPORALES,5849,1
ESTRUCTURAS DE ACERO,2393,1
ESTRUCTURAS DE BUQUES,2600,1
FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,Q22,1
FISICA EXPERIMENTAL 1,1154,1
FISICA 1,1151,1
FISICA 2,TIM31,1
FISICA 2,1152,1
FISICA 3,1153,1
FISIOLOGÍA CUANTITATIVA,LIB38,1
FUNCIONES DE VARIABLE COMPLEJA,1066,1
FUNDAMENTOS DE INGENIERIA DE SOFTWARE,3334,1
FUNDAMENTOS DE LA ROBOTICA AUTONOMA,1857,1
FUNDAMENTOS DE LA ROBÓTICA AUTÓNOMA,TI42,1
FUNDAMENTOS DE LA WEB SEMANTICA,1942,1
FUNDAMENTOS DE OPTIMIZACION,1871,1
FUNDAMENTOS DE PROGRAMACION ENTERA,1631,1
FUNDAMENTOS DE SEGURIDAD INFORMATICA,5916,1
GEODESIA 1,1418,1
GEODESIA 3,1419,1
GEOFISICA,1421,1
GEOMETRIA Y ALGEBRA LINEAL 1,1030,1
GEOMETRIA Y ALGEBRA LINEAL 2,1031,1
GESTION DE CALIDAD,1940,1
GESTION DE LOS PROCES. EN LA INDUSTRIA,Q624,1
GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.,1539,1
GESTION DE MANTENIMIENTO,1920,1
GESTION INTEGRADA DE REDES Y SERV. DE TELEC.,5815,1
GRAMATICAS FORMALES PARA EL LENG.NATURAL,1835,1
HIDRAULICA FLUVIAL Y MARITIMA,2397,1
HIDRODINAMICA NAVAL,2320,1
HORMIGON ESTRUCTURAL 1,2382,1
HORMIGON PRETENSADO,2355,1
IMAGENES MEDICAS: ADQUISICION,5707,1
INDUSTRIA CARNICA,Q26,1
INGENIERIA BIOQUIMICA,Q81,1
INGENIERIA DE LAS REACCIONES QUIMICAS 1,Q69,1
INGLES TECNICO,TIM81,1
INGLES TECNICO 1 (ACT.COMPL.1),TI04,1
INSTRUMENTACION INDUSTRIAL,2706,1
INSTRUMENTACION Y CONTROL,TIM72,1
INT. A LA CIENCIA DE LOS MATERIALES,TIM50,1
INT. A LA CIENCIA DE MATERIALES,1723,1
INT. A LA COMBUSTION,TIM47,1
INT. A LA COMPUTACION GRAFICA,1316,1
INT. A LA EVALUACION Y GESTION AMBIENTAL,2253,1
INT. A LA GEODESIA Y SIST. DE POS. GLOBAL,TCI11,1
INT. A LA INGENIERIA DE SOFTWARE,1716,1
INT. A LA INVESTIGACION DE OPERACIONES,1610,1
INT. A LA MECANICA DE SUELOS,2207,1
INT. A LA PREVENCION DE RIESGOS LABORALES,Q16,1
INT. A LA TEORIA DE LA INFORMACION,1450,1
INT. A LOS MICROPROCESADORES,1513,1
INT. A SIST. DE PROT. DE SIST. ELECT. DE POT.,5518,1
INT. AL ANALISIS RURAL,1611,1
INT. AL CONTROL INDUSTRIAL,2707,1
INT. AL TESTING FUNCIONAL,TI43,1
INTERACCION PERSONA COMPUTADORA,1749,1
INTERNADO DE INGENIERIA BIOMEDICA,5712,1
LABORATORIO DE RESISTENCIA DE MATERIALES,2379,1
LEGISLACION TERRITORIAL,TCI22,1
LOGICA,1027,1
MANTENIMIENTO DE BUQUES,2605,1
MAQUINAS ELECTRICAS,TIM71,1
MAQUINAS PARA FLUIDOS,TIM42,1
MAQUINAS PARA FLUIDOS I,1856,1
MATEMATICA,TI03,1
MATEMATICA DISCRETA Y LOGICA 1,TI02,1
MATEMATICA DISCRETA 1,1023,1
MATEMATICA DISCRETA 2,1026,1
MATEMATICA INICIAL,MI2,1
MATEMATICA 1,TIM20,1
MATEMATICA 3,TIM22,1
MATERIALES COMPUESTOS,1727,1
MATERIALES Y ENSAYOS,1508,1
MECANICA DEL TRANSPORTE DE SEDIMENTOS,1870,1
MECANICA ESTRUCTURAL,2381,1
MECANICA NEWTONIANA,1122,1
MEDIDAS ELECTRICAS,1461,1
METALURGIA DE TRANSFORMACION,TIM54,1
METALURGIA DE TRANSFORMACION,1724,1
METODOS MONTECARLO,1057,1
MODELOS ESTADISTICOS PARA CLASIF. Y REGRESION,1868,1
MÓDULO EXPERIMENTAL DE INGENIERÍA DE PROCESOS FÍSICOS,Q12,1
MÓDULO EXPERIMENTAL DE INGENIERÍA DE PROCESOS QUÍMICOS Y BIO,Q13,1
MODULO DE EXTENSION (ING. EN COMP.),,1
MODULO DE EXTENSION (AGRIMENSURA),,1
MODULO DE EXTENSION- INGENIERIA MECANICA,2032,1
MODULO DE TALLER,,1
MODULO DE TALLER 1,2018,1
MODULO DE TALLER 2,2020,1
MODULO DE TALLER 3,2021,1
MODULO DE TALLER 4,2022,1
MODULO TALLER EXTENSION ING.AMBIENTAL 1,2210,1
MODULO TALLER EXTENSION ING.AMBIENTAL 2,2211,1
MOTORES DE COMBUSTION INTERNA,1818,1
ORDENAMIENTO TERRITORIAL 2,2412,1
PASANTIA,TIM80,1
PASANTIA,2002,1
PASANTIA,2060,1
PASANTIA,2098,1
PASANTÍA,2112,1
PASANTIA-TRABAJO EXPERIM. MOD.1 BASICO,Q82,1
PASANTIA-TRABAJO PRACTICO DE GRADO,A88,1
PASANTÍA (CARTOGRAFÍA),TCI21,1
PASANTIA (IET),2450,1
PASANTÍA(IMFIA),2450,1
PASANTIA (COMPUTACION),1731,1
PASANTIA (ELECTRICA),2011,1
PASANTIA LABORAL,TI21,1
PATOLOGIA DE LAS ESTRUCTURAS,2389,1
PLAN. ESTRAT. Y ESTRATEGIA COMPETITIVA,2391,1
PLANIFICACION DE CLASES: DISEÑO DE UNID.DIDACT.,1213,1
PRINC.Y FUND.DEL PROC.PERS.DE SOFTWARE,1767,1
PRINCIPIOS DE PROGRAMACION,TI01,1
PRINCIPIOS DE QUIMICA GENERAL,1620,1
PROBABILIDAD Y ESTADISTICA,1025,1
PROCEDIMIENTOS CONST.PARA ESTRUCTURAS,1700,1
PROGRAMACION AVANZADA,TI12,1
PROGRAMACION FUNCIONAL,1354,1
PROGRAMACION LOGICA,1340,1
PROGRAMACION PARA INGENIERIA ELECTRICA,1307,1
PROGRAMACION 1,1322,1
PROGRAMACION 2,1321,1
PROGRAMACION 4,1324,1
PROYECTO,TCI26,1
PROYECTO,TI27,1
PROYECTO,2004,1
PROYECTO,2099,1
"PROYECTO, PLANIFICACIÓN Y CONSTRUCCIÓN DE OBRAS 1",2404,1
PROYECTO (AGRIM.),2110,1
PROYECTO (ING.ELEC.),2013,1
PROYECTO DE GRADO,1730,1
PROYECTO DE INGENIERIA MECANICA,2054,1
PROYECTO DE INSTALACIONES ELECTRICAS,5504,1
PROYECTO DE INV.E INNOV.EN ING. ESTRUCT.,2410,1
PROYECTO ESTRUCTURAL ANUAL,2411,1
PROYECTO HIDRAULICA-AMBIENTAL,2405,1
PROYECTO INDUSTRIAL 1,Q80,1
PROYECTO TRANSPORTE 2,2403,1
REDES DE COMPUTADORAS,TI11,1
REDES DE DATOS 2,5855,1
REDES ELECTRICAS,5508,1
RELACIONES PERSONALES EN ING. DE SOFT. Y GER. DE PROY.,1758,1
REPRESENT.GRAF.PARA IND.DE PROC.,1215,1
SEMINARIO DE INGENIERIA BIOMEDICA,5705,1
SEÑALES Y SISTEMAS,1457,1
SISTEMAS DE CONDUCCION EN ING.SANITARIA,1851,1
SISTEMAS DE INFORMACION EN SALUD,1937,1
SISTEMAS DE INFORMACION PARA EL ANALISIS DE GRANDES VOLUMENE,1781,1
SISTEMAS DE REFERENCIA EN GEODESIA,2414,1
SISTEMAS EMBEBIDOS PARA TIEMPO REAL,1556,1
SISTEMAS OPERATIVOS,1537,1
SUBESTACIONES EN MEDIA TENSION,5514,1
TALLER,2001,1
TALLER DE APLICACIONES DE INTERNET RICAS,TI25,1
TALLER DE APRENDIZAJE AUTOMATICO,5853,1
TALLER DE CARTAS GEOGRAFICAS,TCI29,1
TALLER DE CARTOGRAFIA,TCI20,1
TALLER DE DATOS ESPAC.Y SIST.DE INF.GEO.,1359,1
"TALLER DE DISEÑO, COMUNICACIÓN Y REPRESENTACIÓN GRÁFICA",1220,1
TALLER DE GEST.Y TEC.PROC.NEGOCIO (TBPM),1766,1
TALLER DE INGENIERIA CIVIL,2805,1
TALLER DE INGENIERÍA BIOLÓGICA I,LIB49,1
TALLER DE INTRODUCCION A LA ING. ELECTRICA,5904,1
TALLER DE MAQUINAS ELECTRICAS,5603,1
TALLER DE PLAN Y SEG DE PROY DE SOFTWARE,1778,1
TALLER DE ROBOTICA EDUCATIVA,1780,1
TALLER DE SIST. DE INF. GEO. EMPRES.,1776,1
TALLER DE SIST.DE INF.GEOGRAFICA,TI29,1
TALLER DE SISTEMAS CIBER-FISICOS,1952,1
TALLER DE SISTEMAS DE INFORMAC.JAVA EE,TI24,1
TALLER DE SISTEMAS EMPRESARIALES,1775,1
TALLER 1: AJUSTE Y MONTAJE,TIM10,1
TALLER 2: METROLOGÍA,TIM11,1
TALLER 2:MODEL.CUANT.PARA PROBL.DE PROD.,2033,1
TALLER 3: MAQUINAS HERRAMIENTAS,TIM12,1
TALLER 4: MOTORES DE COMBUSTION INTERNA,TIM13,1
TALLER 5: SOLDADURA,TIM14,1
TEC.Y UTILIZACION DE GASES COMBUSTIBLES,1825,1
TECNOLOGIA DEL HORMIGON,2371,1
TECNOLOGIA Y SERV. INDUSTRIALES 1,Q71,1
TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,5866,1
TEORIA DE ERRORES 2,1522,1
TEORIA DE LENGUAJES,1325,1
TEORIA DE LOS CIRCUITOS,LIB55,1
TEORIA DE MAQUINAS Y MECANISMOS,1722,1
TERMODINAMICA APL. A LA ING.DE PROCESOS,Q21,1
TESIS DE LICENCIATURA EN COMPUTACION,1860,1
TOPOGRAFIA 1,1527,1
TOPOGRAFIA 3,1524,1
TRANSFERENCIA DE CALOR,TIM41,1
TRANSFERENCIA DE CALOR Y MASA 2,Q68,1
TRANSFERENCIA DE CALOR 2,1824,1
TRANSPORTE FERROVIARIO,2505,1
TRANSPORTE POR CARRETERA,2504,1
TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,Q56,1
ACTIVIDAD INTEGRADORA B,1862,2
-,1863,2
ADMINISTRACION DE INFRAESTRUCTURAS,TI17,2
AGRIMENSURA LEGAL 2,1913,2
AGRIMENSURA LEGAL 4,2014,2
ALGEBRA LINEAL NUMERICA,5914,2
ALGORITMOS EVOLUTIVOS,1637,2
ANALISIS DE DATOS EN REDES COMPLEJAS,1634,2
ANALISIS Y DISEÑO DE ALGORIT.DISTRIB.EN REDES,1440,2
APLICACION DE TEORIA DE LA INF.AL PROC.DE IMAG.,1438,2
APRENDIZAJE AUTOMATICO,1866,2
APRENDIZAJE PROFUNDO PARA VISION ARIFICIAL,1463,2
ARQUITECTURA DE COMPUTADORAS,1443,2
ASTRONOMIA GEODESICA,1612,2
AUTOMATAS PROGRAMABLES,TIM74,2
AVALUACIONES 1,1614,2
AVALUACIONES 2,1618,2
BASES DE DATOS I,TI09,2
BASES DE DATOS I,TI09,2
CALCULO DIF. E INTEGRAL EN UNA VARIABLE,1061,2
CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,1062,2
CALCULO VECTORIAL,1063,2
CALIDAD DE DATOS E INFORMACION,1802,2
CAMINOS Y CALLES 2,2232,2
CATASTRO,1619,2
CIRCUITOS DE RADIOFRECUENCIA,5713,2
COMERCIALIZACION,1924,2
COMPLEJIDAD COMPUTACIONAL,1355,2
COMPORTAMIENTO MECANICO DE MATERIALES 2,1765,2
COMPUTACION 1,1411,2
COMUNICACIONES INALAMBRICAS,5848,2
CONST.FORMAL DE PROGR.EN TEORIA DE TIPOS,1347,2
CONTROL DE CALIDAD,1510,2
CONTROL DE LA CORROSION,Q29,2
CONTROL NUMERICO COMPUTARIZADO 2,TIM57,2
COSTOS PARA INGENIERIA,TIM60,2
COSTOS PARA INGENIERIA,1922,2
DESARROLLO DE SITIOS WEB CON PHP,TI23,2
DINAMICA DE MAQUINAS Y VIBRACION,1718,2
DISEÑO DE CIRCUITOS INTEGRADOS,5708,2
DISEÑO DE REDES DE COND.EN ING.SANITARIA,1852,2
DISEÑO DE SISTEMAS MEDICOS IMPLANTABLES ACTIVOS,5724,2
DISEÑO LOGICO,1512,2
ECONOMIA,1224,2
ELECTROMAGNETISMO,1128,2
ELECTRONICA AVANZADA 1,5716,2
ELECTROTECNICA II,2109,2
ELEMENTOS DE INGENIERIA AMBIENTAL,2256,2
ELEMENTOS DE MAQUINAS,TIM53,2
ENERGIA APLICADA A LA INDUSTRIA,Q88,2
ENERGIA 3,1816,2
ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION,5519,2
ENSAYOS NO DESTRUCTIVOS,TIM59,2
ESTRUCTURAS DE DATOS Y ALGORITMOS,TI06,2
ESTRUCTURAS DE MADERA,2384,2
ESTUDIO DEL TRABAJO,TIM63,2
EVALUACION ECON.Y FINAN.DE PROY.DE INV.,2039,2
FISICA EXPERIMENTAL 2,1155,2
FISICA TERMICA,1123,2
FISICA 1,TIM30,2
FISICA 1,1151,2
FISICA 2,1152,2
FISICA 3,1153,2
FLUIDODINAMICA,Q66,2
FOTOGRAMETRIA,1858,2
FUND. DE LA PROD. DE CELULOSA Y PAPEL,Q28,2
FUNDAMENTOS DE APRENDIZAJE AUTOMATICO Y RECONOCIMIENTO DE,5852,2
FUNDAMENTOS DE BASES DE DATOS,1911,2
GENERADORES DE VAPOR,TIM44,2
GENERADORES DE VAPOR,1815,2
GEODESIA 2,1422,2
GEOESTADISTICA APLICADA,2247,2
GEOLOGIA DE INGENIERIA,2206,2
GEOMETRIA Y ALGEBRA LINEAL 1,1030,2
GEOMETRIA Y ALGEBRA LINEAL 2,1031,2
GESTION DE CALIDAD AMBIENTAL,1855,2
GESTION DEL MANTENIMIENTO,TIM62,2
HERRAMIENTAS P/EL DISEÑO Y ANALISIS DE REDES DE TRANSP.URB DE,3207,2
HIDROLOGIA AVANZADA II,1847,2
HIDROLOGIA E HIDRAULICA APLICADAS,1833,2
HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS,A65,2
HORMIGON ESTRUCTURAL 2,2395,2
INGENIERIA AMBIENTAL PARA LA INDUSTRIA DE PROCESOS,Q101,2
INGENIERIA BIOMEDICA,5710,2
INGENIERIA DE LAS REACCIONES QUIMICAS 2,Q70,2
INGENIERIA DE ONTOLOGIAS,2418,2
INGENIERIA DE SOFTWARE,TI18,2
INGENIERIA DE SOFTWARE BASADA EN EVIDENCIAS,2417,2
INGLES CONVERSACIONAL (ACT.COMPL.2),TI10,2
INICIACION A LA PROD. AUDIOVIS. Y MULTIMEDIA,2040,2
INICIACION A LA PRODUCCION AUDIOVISUAL Y MULTIMEDIA (AREA),2040A,2
INSTALACIONES ELECTRICAS,TIM73,2
INSTALACIONES ELECTRICAS,5507,2
INSTALACIONES GENERALES DE GASES COMBUSTIBLES,TIM46,2
INT. A BASES DE DATOS,2413,2
INT. A LA CONSTRUCCION,1715,2
INT. A LA CORROSION DEL HORMIGON ARMADO,2375,2
INT. A LA ELECTROTECNIA,TIM70,2
INT. A LA EVAL.DE LA CAL.DE LA INF.GEOGR.,TCI25,2
INT. A LA ING. QUIMICA Y DE PROCESOS,Q59,2
INT. A LA INGENIERIA BIOQUIMICA,Q77C,2
INT. A LA INGENIERIA DE PRODUCCION,2416,2
INT. A LA INGENIERIA SANITARIA,2315,2
INT. A LA MECANICA DE LOS FLUIDOS,TIM40,2
INT. A LA TERMODINAMICA,TIM32,2
INT. A LAS ECUACIONES DIFERENCIALES,1064,2
INT. A LOS PLC,5910,2
INT. A LOS SIST. DE INFOR. GEOGRAFICA,1926,2
INT. AL DISEÑO Y MONTAJE DE LAS IND.DE PROC.,1214,2
INT. AL MIDDLEWARE,1948,2
INT. AL NEGOCIO DEL SOFTWARE,1543,2
INT. AL PROCESAMIENTO DE LENG. NATURAL,1828,2
INT. AL TESTING FUNCIONAL,TI43,2
INT. AL TRANSPORTE,2510,2
INTEGRACION DE DATOS,1941,2
INVESTIGACION DE OPER.Y GEST. DE RIESGOS,1779,2
LABORATORIO DE MECANICA DE SUELOS,2218,2
LABORATORIO DE MEDIDAS FISICAS,5857,2
LABORATORIO DE RESISTENCIA DE MATERIALES,2379,2
LABORATORIO DE TECNOLOGIA DEL HORMIGON,2321,2
MAMPOSTERIA ESTRUCTURAL,2356,2
MANTENIMIENTO DE BUQUES,2605,2
MAQUINARIA NAVAL,2603,2
MAQUINAS ELECTRICAS,5602,2
MAQUINAS PARA FLUIDOS II,1859,2
MAQUINAS Y EQUIPOS PARA TRANSPORTE,2506,2
MATEMATICA DISCRETA Y LOGICA 2,TI07,2
MATEMATICA DISCRETA 1,1023,2
MATEMATICA DISCRETA 2,1026,2
MATEMATICA INICIAL,MI2,2
MATEMATICA 2,TIM21,2
MATERIALES COMPUESTOS,1727,2
MECANICA APLICADA (ING.QUÍM),Q73,2
MECANICA DE LOS FLUIDOS,1226,2
MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL,2380,2
METALURGIA FISICA,TIM51,2
METALURGIA FISICA,1719,2
METEOROLOGIA DINAMICA Y SINOPTICA,2212,2
METODOS NUMERICOS,1033,2
MODELADO Y OPTIMIZACION,1624,2
MODULO DE EXTENSION- INGENIERIA MECANICA,2032,2
MODULO DE EXTENSION 2,1208,2
MODULO DE EXTENSION 4,1209,2
MODULO DE INVESTIGACION,TCI27,2
MODULO DE INVESTIGACION,1645,2
MODULO DE TALLER,,2
MODULO DE TALLER 1,2018,2
MODULO DE TALLER 2,2020,2
MODULO DE TALLER 4,2022,2
MODULO TALLER EXTENSION ING.AMBIENTAL 1,2210,2
MODULO TALLER EXTENSION ING.AMBIENTAL 2,2211,2
MONOGRAFIA EN MEDIDAS ELECTRICAS,1413,2
MORFODINAMICA DE SISTEMAS FLUVIALES Y COSTEROS,1874,2
MOTORES DE COMB. INT. Y TURBINAS DE GAS,TIM43,2
MULTIMEDIA SOBRE IP,1557,2
OBRAS HIDRAULICAS,2396,2
OPTICA,1129,2
OPTIMIZACION CONTINUA Y APLICACIONES,1640,2
OPTIMIZACION DE PROBLEMAS DE PRODUCCION,2037,2
ORDENAMIENTO TERRITORIAL 1,2388,2
PASANTIA,TIM80,2
PASANTIA,2002,2
PASANTIA,2060,2
PASANTIA,2098,2
PASANTIA-TRABAJO EXPERIM. MOD.1 BASICO,Q82,2
PASANTIA-TRABAJO EXPERIM. MOD.2,Q83,2
PASANTIA-TRABAJO EXPERIM. MOD.3,Q84,2
PASANTIA-TRABAJO PRACTICO DE GRADO,A88,2
PASANTIA (IET),2450,2
PASANTIA (IMFIA),2450,2
PASANTIA (COMPUTACION),1731,2
PASANTIA (ELECTRICA),2011,2
PASANTIA LABORAL,TI21,2
POLITICAS CIENTIFICAS EN INF.Y COMP.,1225,2
POTABILIZACION DE AGUAS,1853,2
PRACTICA DE ADMINISTRACION PARA INGENIEROS,1945,2
PROBABILIDAD Y ESTADISTICA,TI19,2
PROBABILIDAD Y ESTADISTICA,1025,2
PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO,2352,2
PROCESADO DE TERMOPLASTICOS,TIM58,2
PRODUCCION CARTOGRAFICA,TCI23,2
PROFESION EN INGENIERIA DE SOFTWARE,1777,2
PROGRAMACION DE APLICACIONES,TI16,2
PROGRAMACION FUNCIONAL AVANZADA,1350,2
PROGRAMACION 1,1322,2
PROGRAMACION 3,1323,2
PROPAGACION EN ENTORNOS URBANOS,5821,2
PROYECTO,TCI26,2
PROYECTO,TI27,2
PROYECTO,2061,2
"PROYECTO, PLANIFICACIÓN Y CONSTRUCCIÓN DE OBRAS 2",2407,2
PROYECTO (AGRIM.),2110,2
PROYECTO (ING.ELEC.),2013,2
PROYECTO (ING.NAVAL),2019,2
PROYECTO DE GRADO,1730,2
PROYECTO DE INGENIERIA DE SOFTWARE,1721,2
PROYECTO DE INSTALACIONES ELECT.DE BAJA Y MEDIA TENS.,5511,2
PROYECTO DE INV.E INNOV.EN ING. ESTRUCT.,2410,2
PROYECTO DE INVERSION,TIM64,2
PROYECTO ESTRUCTURAL 2,2406,2
PROYECTO HIDRAULICA-AMBIENTAL,2405,2
PROYECTO INDUSTRIAL 2,Q57,2
PROYECTO TRANSPORTE 1,2400,2
PUENTES,2359,2
RECUP.DE INF.Y RECOMEND.EN LA WEB (WIR),1938,2
REDES DE COMPUTADORAS,1446,2
REDES DE DATOS 1,5824,2
REDES DE SENSORES INALAMBRICOS,1538,2
REDES DE TRANSPORTE DE ALTA CAPACIDAD,5836,2
REFRIGERACION,1638,2
REFRIGERACION INDUSTRIAL,TIM45,2
RELACIONES PERSONALES Y LABORALES,TI20,2
REPENSANDO LOS SISTEMAS ALIMENTARIOS,3628,2
RESISTENCIA DE MATERIALES 1,2368,2
RESISTENCIA DE MATERIALES 2,1312,2
SEGURIDAD EN LA CONSTRUCCION,2246,2
SEGURIDAD INDUSTRIAL,TIM65,2
SEÑALES ALEATORIAS Y MODULACION,1460,2
SISTEMAS DE INFORMACION GEOGR. AVANZADO,TCI28,2
SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS,2200,2
SISTEMAS OPERATIVOS,TI08,2
SISTEMAS OPERATIVOS,1537,2
SISTEMAS Y CONTROL,5905,2
TALLER,2001,2
TALLER: HERRAMIENTAS PARA LA INNOVACION,1951,2
TALLER DE ADMINISTRACION PARA INGENIERIA CIVIL,1946,2
TALLER DE BASES DE DATOS NO SQL,TI46,2
TALLER DE CAMBIO TECNOL.EN INST.FINANC.,TI41,2
"TALLER DE DISEÑO, COMUNICACIÓN Y REPRESENTACIÓN GRÁFICA",1220,2
TALLER DE GESTION DE REDES,TTR13,2
TALLER DE INGENIERIA CIVIL,2805,2
TALLER DE INGENIERÍA BIOLÓGICA II,LIB10,2
TALLER DE INTRODUCCION A LA ING. ELECTRICA,5904,2
TALLER DE LENG.Y TEC.DE LA WEB SEMANTICA,1947,2
TALLER DE PROGRAMACION,1327,2
TALLER DE SEGURIDAD INFORMATICA,1437,2
TALLER DE SISTEMAS CIBER-FISICOS,1952,2
TALLER DE SISTEMAS DE INFORMACION.NET,TI26,2
TALLER DE SISTEMAS DE INFORMACION 1,1751,2
TALLER DE VERIFICACION DEL SOFTWARE,1742,2
TALLER ENCARARE: CREAR,1216,2
TALLER FOURIER,1459,2
TALLER LAB. ELECT.DE POT:RECT.E INVER.,5604,2
TALLER LABORAT. DE ELECTRON.DE POTENCIA,5610,2
TALLER 2:MODEL.CUANT.PARA PROBL.DE PROD.,2033,2
TALLER 4:MEJORA DE LA COMPETITIVIDAD,2035,2
TALLER 5: SOLDADURA,TIM14,2
TECNICAS AVANZADAS PARA LA GEST. DE SIST. DE INF.,1933,2
TECNOLOGIA DE SERVICIOS AUDIOVISUALES,5851,2
TECNOLOGIA Y SERVICIOS INDUSTRIALES 2,Q100,2
"TEORIA, ALGORITMOS Y APLICACIONES DE GESTIÓN LOGÍSTICA",1633,2
TEORIA DE CIRCUITOS,1456,2
TEORIA DE ERRORES 1,1521,2
TEORIA DE INSTRUMENTAL,1526,2
TEORIA DE RESTRICCIONES,1927,2
TEORIA DEL BUQUE,2604,2
TESIS DE LICENCIATURA EN COMPUTACION,1860,2
TIEMPOS Y METODOS,2038,2
TOPOGRAFIA 2,1509,2
TOPOGRAFIA 3,1524,2
TOPOMETRIA,2016,2
TRABAJOS ESPECIALES EN METALURGIA,1726,2
TRANSFERENCIA DE CALOR Y MASA 1,Q74,2
TRANSFERENCIA DE CALOR 1,1823,2
TRANSPORTE AEREO,2508,2
TRANSPORTE DE ENERGIA ELECTRICA,5520,2
TRANSPORTE FLUVIAL Y MARITIMO,2507,2
TRANSPORTE INDUSTRIAL,1729,2
TRANSPORTE URBANO,2511,2
TRATAMIENTO DE EFLUENTES,2316,2
TRATAMIENTO DE IMAGENES POR COMPUTADORA,5828,2
VIBRACIONES Y ONDAS,1144,2