instituto,nombre,codigo,inscriptos
7,ACTIVIDAD INTEGRADORA A,1862,1
7,ACTIVIDAD INTEGRADORA B,1863,0
1,ADMINISTRACIÓN DE OPERACIONES,1915,45
12,ADMINISTRACIÓN GENERAL PARA INGENIEROS,1944,312
7,ADMINISTRACIÓN Y SEGURIDAD DE SISTEMAS,1918,21
9,AGRIMENSURA LEGAL 1,1910,14
9,AGRIMENSURA LEGAL 3,1817,8
1,ALISTAMIENTO NAVAL,2601,3
9,ANÁLISIS ESPACIAL CON MODELOS DIGITALES DE ELEVACIÓN,1881,21
4,ANÁLISIS Y CONTROL DE SISTEMAS NO LINEALES,5913,9
4,ANTENAS Y PROPAGACIÓN,5817,26
4,APLICACIONES DE TEORÍA DE LA INFORMACIÓN AL PROCESAMIENT,1438,27
7,ARQUITECTURA DE COMPUTADORAS,TI05,1
9,AVALUACIONES 3,2023,10
Otros,BASES DE DATOS II,TI13,9
7,BASES DE DATOS NO RELACIONALES,1949,40
Otros,BIOMECÁNICA,LIB32,0
11,CALCULO DIFERENCIAL E INTEGRAL EN UNA VARIABLE,1061,2087
11,CALCULO DIFERENCIAL E INTEGRAL EN VARIAS VARIABLES,1062,528
11,CALCULO VECTORIAL,1063,344
2,CALIDAD DE AGUAS,1854,7
3,CAMINOS Y CALLES 1,2231,57
9,CAPTURA DE DATOS POR PERCEPCIÓN REMOTA,TCI24,17
9,CARTOGRAFÍA MATEMÁTICA,TCI13,12
9,CARTOGRAFIÁ MATEMÁTICA,1420,7
Otros,CIUDADANÍA EN ENTORNOS DIGITALES,1271,46
Otros,COMPORTAMIENTO MECÁNICO DE MATERIALES,TIM52,39
1,COMPORTAMIENTO MECÁNICO DE MATERIALES 1,1764,119
7,COMPUTACIÓN  DE PROPÓSITO GENERAL EN UNIDADES DE PROCE,1447,12
7,COMPUTACIÓN DE ALTA PERFORMANCE,1434,47
Otros,COMUNICACIÓN ORAL Y ESCRITA (ACT.COMPL3),TI15,3
4,COMUNICACIONES DIGITALES,1462,18
Otros,CONTABILIDAD (ACT.COMPL.4),TI14,8
Otros,CONTROL DE CALIDAD,TIM61,15
Otros,CONTROL NUMÉRICO COMPUTARIZADO 1,TIM56,2
3,COSTOS,2240,78
Otros,DESARROLLO DE APLICACIONES BASADAS EN TECNOLOGÍAS GENE,TI22,20
Otros,DESARROLLO DE SITIOS WEB CON PHP,TI23,15
7,DIDÁCTICA DE ALGORITMOS Y ESTRUCTURAS DE DATOS,1353,21
8,DINÁMICA Y CONTROL DE PROCESOS,Q94,47
Otros,DISEÑO ASISTIDO POR COMPUTADOR,TIM55,26
9,DISEÑO CATASTRAL,2025,1
8,DISEÑO DE PROCESOS QUÍMICOS,Q197,24
2,DISEÑO HIDROLÓGICO,2399,9
4,DISEÑO LÓGICO 2,1534,22
2,EJERCICIOS DE INGENIERÍA SANITARIA,2309,9
3,ELASTICIDAD,2366,78
4,ELECTRÓNICA AVANZADA 2,5717,31
4,ELECTRÓNICA DE POTENCIA,5609,32
4,ELECTRÓNICA FUNDAMENTAL,5715,70
4,ELECTROTECNICA,5850,81
4,ELECTROTECNICA I,2108,174
1,ELEMENTOS DE GESTIÓN LOGÍSTICA,2244,41
1,ELEMENTOS DE MAQUINAS,1720,25
2,ELEMENTOS DE MECÁNICA DE LOS FLUIDOS,1805,224
9,ELEMENTOS DE TOPOGRAFÍA,2230,19
3,ELEMENTOS FINITOS,1884,0
8,ENERGÍA APLICADA A LA INDUSTRIA,Q88,8
1,ENERGÍA 1- COMBUSTIÓN,1850,105
1,ENERGÍA 2: GENERACIÓN DE ENERGÍA CON PLANTAS VAPOR Y GAS,2394,13
4,ESTIMACIÓN Y PREDICCIÓN EN SERIES TEMPORALES,5849,16
3,ESTRUCTURAS DE ACERO,2393,50
1,ESTRUCTURAS DE BUQUES,2600,0
3,ESTRUCTURAS LAMINARES,1878,0
8,FENÓMENOS DE TRANSPORTE EN INGENIERÍA DE PROCESOS,Q22,175
10,FÍSICA EXPERIMENTAL 1,1154,284
Otros,FÍSICA 1,TIM30,25
10,FÍSICA 1,1151,1404
Otros,FÍSICA 2,TIM31,37
10,FÍSICA 2,1152,226
10,FÍSICA 3,1153,373
Otros,FISIOLOGÍA CUANTITATIVA,LIB38,7
11,FUNCIONES DE VARIABLE COMPLEJA,1066,104
4,FUNDAMENTOS CELULARES DE CIRCUITOS NEURALES,1235,6
7,FUNDAMENTOS DE INGENIERÍA DE SOFTWARE,3334,31
7,FUNDAMENTOS DE LA ROBÓTICA AUTÓNOMA,1857,19
8,FUNDAMENTOS DE LA TECNOLOGÍA DE LA LECHE,Q48,1
7,FUNDAMENTOS DE LA WEB SEMÁNTICA,1942,111
11,FUNDAMENTOS DE OPTIMIZACIÓN,1871,294
7,FUNDAMENTOS DE PROGRAMACIÓN ENTERA,1631,21
1,FUNDAMENTOS DE ROBÓTICA INDUSTRIAL,1788,16
7,FUNDAMENTOS DE SEGURIDAD INFORMÁTICA,5916,52
4,GENERACIÓN DE ENERGÍA ELÉCTRICA,5630,0
9,GEODESIA 1,1418,17
9,GEODESIA 3,1419,9
9,GEOESTADÍSTICA APLICADA,2247,6
9,GEOFÍSICA,1421,7
11,GEOMETRÍA Y ÁLGEBRA LINEAL 1,1030,2484
11,GEOMETRÍA Y ÁLGEBRA LINEAL 2,1031,593
1,GESTIÓN DE CALIDAD,1954,56
8,GESTIÓN DE LOS PROCESOS  EN LA INDUSTRIA,Q624,38
1,GESTIÓN DE LOS RECURSOS HUMANOS EN LA PRODUCCIÓN DE BIE,1539,31
1,GESTIÓN DE MANTENIMIENTO,1920,58
4,GESTIÓN INTEGRADA DE REDES Y SERVICIOS DE TELECOMUNICAC,5815,1
2,HIDRÁULICA FLUVIAL Y MARÍTIMA,2397,9
Otros,HIDRÁULICA Y NEUMÁTICA,TIM75,6
2,HIDRODINÁMICA NAVAL,2320,1
3,HORMIGÓN ESTRUCTURAL 1,2382,54
3,HORMIGÓN ESTRUCTURAL 3,2419,15
4,IMÁGENES MEDICAS: ADQUISICIÓN  INSTRUMENTACIÓN Y GESTIÓN,5707,1
8,INDUSTRIA CÁRNICA,Q26,0
Otros,INFORMÁTICA EN BIOLOGÍA Y MEDICINA,LIB36,1
8,INGENIERÍA BIOQUÍMICA,Q81,61
8,INGENIERÍA DE LAS REACCIONES QUÍMICAS 1,Q69,69
Otros,INGLES TÉCNICO,TIM81,25
Otros,INGLES TÉCNICO 1 (ACT. COMPL.1),TI04,3
7,INICIACIÓN A LA PRODUCCIÓN AUDIOVISUAL Y MULTIMEDIA,2040,70
1,INSTRUMENTACIÓN INDUSTRIAL,2706,60
Otros,INSTRUMENTACIÓN Y CONTROL,TIM72,20
Otros,INTRODUCCIÓN A LA CIENCIA DE LOS MATERIALES,TIM50,71
5,INTRODUCCIÓN A LA CIENCIA DE MATERIALES,1723,136
Otros,INTRODUCCIÓN A LA COMBUSTIÓN,TIM47,9
7,INTRODUCCIÓN A LA COMPUTACIÓN GRAFICA,1316,49
2,INTRODUCCIÓN A LA EVALUACIÓN Y GESTIÓN AMBIENTAL,2253,10
9,INTRODUCCIÓN A LA GEODESIA Y SISTEMAS DE POSICIONAMIENTO,TCI11,13
7,INT. A LA INGENIERIA DE SOFTWARE,1716,130
7,INTRODUCCIÓN A LA INVESTIGACIÓN DE OPERACIONES,1650,555
3,INTRODUCCIÓN A LA MECÁNICA DE SUELOS,2207,66
8,INTRODUCCIÓN A LA PREVENCIÓN DE RIESGOS LABORALES,Q16 I,32
4,INTRODUCCIÓN A LA TEORÍA DE LA INFORMACIÓN,1450,34
4,INTRODUCCIÓN A LOS MICROPROCESADORES,1513,98
4,INTRODUCCIÓN A LOS SISTEMAS DE PROTECCIÓN DE SISTEMAS EL,5518,4
9,INTRODUCCIÓN AL ANÁLISIS RURAL,1611,16
4,INTRODUCCIÓN AL CONTROL INDUSTRIAL,2707,38
7,INTRODUCCIÓN AL PROCESAMIENTO DE LENGUAJE NATURAL,1828,77
Otros,INTRODUCCIÓN AL TESTING FUNCIONAL,TI43,26
4,INTERNADO DE INGENIERÍA BIOMEDICA,5712,1
3,LABORATORIO DE RESISTENCIA DE MATERIALES,2379,22
9,LEGISLACIÓN TERRITORIAL,TCI22,1
7,LÓGICA,1027,681
1,MANTENIMIENTO DE BUQUES,2605,5
Otros,MAQUINAS ELÉCTRICAS,TIM71,14
Otros,MAQUINAS PARA FLUIDOS,TIM42,20
2,MAQUINAS PARA FLUIDOS I,1856,68
Otros,MATEMÁTICA,TI03,0
Otros,MATEMÁTICA DISCRETA Y LÓGICA 1,TI02,0
11,MATEMÁTICA DISCRETA 1,1023,1673
11,MATEMÁTICA DISCRETA 2,1026,361
11,MATEMÁTICA INICIAL,MI2,577
Otros,MATEMÁTICA 1,TIM20,81
Otros,MATEMÁTICA 2,TIM21,32
Otros,MATEMÁTICA 3,TIM22,30
5,MATERIALES COMPUESTOS,1727,2
5,MATERIALES Y ENSAYOS,1508,56
2,MECÁNICA DEL TRANSPORTE DE SEDIMENTOS,1870,0
3,MECÁNICA ESTRUCTURAL,2381,32
10,MECÁNICA NEWTONIANA,1122,416
4,MEDIDAS ELÉCTRICAS,1461,77
Otros,METALURGIA DE TRANSFORMACIÓN,TIM54,2
5,METALURGIA DE TRANSFORMACIÓN,1724,26
Otros,METALURGIA FÍSICA,TIM51,18
2,METEOROLOGÍA DINÁMICA Y SINÓPTICA,2212,1
8,MÉTODOS MATEMÁTICOS APLICADOS A INGENIERÍA QUÍMICA,Q103,0
7,MÉTODOS MONTECARLO,1057,12
7,MÓDULO DE EXTENSIÓN,ME1/2,19
4,MODULO DE EXTENSIÓN 2,1208,1
4,MODULO DE EXTENSIÓN 4,1209,3
8,MODULO DE PRÁCTICAS EN INGENIERÍA DE LOS PROCESOS FÍSICO,Q12,1
1,MÓDULO DE TALLER – INGENIERÍA MECÁNICA,2030,1
7,MÓDULO DE TALLER,MT,53
4,MODULO DE TALLER 1,2018,5
4,MODULO DE TALLER 2,2020,9
4,MODULO DE TALLER 3,2021,3
4,MODULO DE TALLER 4,2022,3
2,MODULO TALLER EXTENSIÓN INGENIERÍA AMBIENTAL 1,2210,0
2,MODULO TALLER EXTENSIÓN INGENIERÍA AMBIENTAL 2,2211,0
1,MOTORES DE COMBUSTIÓN INTERNA,1818,12
10,ÓPTICA,1129,8
9,ORDENAMIENTO TERRITORIAL 2,2412,8
Otros,PASANTÍA,TIM80,2
1,PASANTÍA,2002,27
4,PASANTÍA,2060,2
1,PASANTÍA,2098,8
7,PASANTÍA,1731,54
9,PASANTÍA,TCI21,9
8,PASANTÍA-TRABAJO EXPERIMENTAL MÓDULO 1 BÁSICO,Q82,38
8,PASANTÍA-TRABAJO PRACTICO DE GRADO MÓDULO.1,A88,7
9,PASANTÍA (AGRIMENSURA),2112,2
2450,PASANTÍA (CIVIL),2450,19
4,PASANTÍA (ELÉCTRICA),2011,44
Otros,PASANTÍA LABORAL,TI21,16
3,PATOLOGÍA DE LAS ESTRUCTURAS,2389,13
1,PLANEAMIENTO ESTRATÉGICO Y ESTRATEGIA COMPETITIVA,2391,4
23,PLANIFICACIÓN DE CLASES: DISEÑO DE UNIDADES DIDÁCTICAS,1213,7
7,PRINCIPIOS Y FUNDAMENTOS DEL PROCESO PERSONAL DEL SOFT,1767,84
Otros,PRINCIPIOS DE PROGRAMACIÓN,TI01,3
Otros,PRINCIPIOS DE QUÍMICA GENERAL,1620,307
11,PROBABILIDAD Y ESTADÍSTICA,1025,635
3,PROCEDIMIENTOS DE CONSTRUCCIÓN PARA ESTRUCTURAS,1700,32
Otros,PROGRAMACIÓN AVANZADA,TI12,9
7,PROGRAMACIÓN FUNCIONAL,1354,199
7,PROGRAMACIÓN LÓGICA,1340,71
4,PROGRAMACIÓN PARA INGENIERÍA ELÉCTRICA,1307,69
7,PROGRAMACIÓN 1,1373,635
7,PROGRAMACIÓN 2,1321,647
7,PROGRAMACIÓN 4,1324,307
9,PROYECTO,TCI26,5
Otros,PROYECTO,TI27,19
1,PROYECTO,2004,21
4,PROYECTO,2061,4
1,PROYECTO,2099,16
3,"PROYECTO, PLANIFICACIÓN Y CONSTRUCCIÓN DE OBRAS 1",2404,9
9,PROYECTO (AGRIM.),2110,6
4,PROYECTO (ING.ELEC.),2013,15
Otros,PROYECTO (ING FÍSICO-MAT),1885,1
7,PROYECTO DE GRADO,1730,31
1,PROYECTO DE INGENIERIA MECANICA,2054,6
4,PROYECTO DE INSTALACIONES ELECTRICAS,5504,6
3,PROYECTO DE INVESTIGACIÓN E INNOVACIÓN EN INGENIERÍA EST,2410,4
3,PROYECTO ESTRUCTURAL ANUAL,2411,20
2,PROYECTO HIDRAULICA-AMBIENTAL,2405,5
8,PROYECTO INDUSTRIAL 1,Q80,44
3,PROYECTO TRANSPORTE 2,2403,8
Otros,REDES DE COMPUTADORAS,TI11,5
4,REDES DE DATOS 2,5855,27
4,REDES ELÉCTRICAS,5508,11
7,RELACIONES PERSONALES EN INGENIERÍA DE SOFTWARE Y GEREN,1758,53
8,REPRESENTACIÓN GRÁFICA PARA INDUSTRIA DE PROCESOS,1215,26
7,ROBÓTICA BASADA EN COMPORTAMIENTOS,1848,5
4,SEMINARIO DE INGENIERÍA BIOMÉDICA,5705,6
4,SEÑALES Y SISTEMAS,1457,66
2,SISTEMAS DE CONDUCCIÓN EN INGENIERÍA SANITARIA,1851,11
4,SISTEMAS DE CONTROL EN TIEMPO DISCRETO,5906,3
7,SISTEMAS DE INFORMACIÓN PARA EL ANÁLISIS DE GRANDES VOLÚ,1781,50
9,SISTEMAS DE REFERENCIA EN GEODESIA,2414,17
4,SISTEMAS EMBEBIDOS PARA TIEMPO REAL,1556,48
7,SISTEMAS OPERATIVOS,1537,339
4,SUBESTACIONES EN MEDIA TENSIÓN,5514,4
1,TALLER,2001,17
4,TALLER DE ADMINISTRACIÓN DE REDES Y SERVICIOS DE COMUNIC,TTR16,0
Otros,TALLER DE APLICACIONES DE INTERNET RICAS,TI25,8
4,TALLER DE APRENDIZAJE AUTOMÁTICO,5853,29
9,TALLER DE CARTAS GEOGRÁFICAS,TCI29,15
9,TALLER DE DATOS ESPACIALES Y SISTEMAS DE INFORMACIÓN GE,1359,35
3,TALLER DE INGENIERÍA CIVIL,2804,8
Otros,TALLER DE INGENIERÍA BIOLÓGICA I,LIB49,27
4,TALLER DE INTRODUCCIÓN A LA INGENIERÍA ELÉCTRICA,5904,199
4,TALLER DE MAQUINAS ELÉCTRICAS,5603,13
7,TALLER DE MINERÍA DE PROCESOS DE NEGOCIO (TPM),1876,12
12,TALLER DE REPRESENTACIÓN Y COMUNICACIÓN GRAFICA_MODUL,1266/9,250
7,TALLER DE ROBÓTICA EDUCATIVA,1780,30
7,TALLER DE SISTEMAS DE INFORMACIÓN GEOGRÁFICA EMPRESARIA,1776,32
Otros,TALLER DE SISTEMAS DE INFORMACIÓN GEOGRÁFICA,TI29,29
7,TALLER DE SISTEMAS CIBER-FISICOS,1952,5
Otros,TALLER DE SISTEMAS DE INFORMACIÓN JAVA EE,TI24,40
7,TALLER DE SISTEMAS EMPRESARIALES,1775,47
Otros,TALLER 1: AJUSTE Y MONTAJE,TIM10,65
Otros,TALLER 2: METROLOGÍA,TIM11,59
Otros,TALLER 3: MAQUINAS HERRAMIENTAS,TIM12,60
Otros,TALLER 4: MOTORES DE COMBUSTIÓN INTERNA,TIM13,60
Otros,TALLER 5: SOLDADURA,TIM14,62
1,TECNOLOGÍA Y UTILIZACIÓN DE GASES COMBUSTIBLES,1825,0
3,TECNOLOGÍA DEL HORMIGÓN,2371,52
8,TECNOLOGÍA Y SERVICIOS INDUSTRIALES 1,Q71,64
4,TECNOLOGÍAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,5866,9
9,TEORÍA DE ERRORES 2,1522,10
7,TEORÍA DE LENGUAJES,1325,235
8,TERMODINÁMICA APLICADA A LA INGENIERÍA DE PROCESOS,Q21,86
7,TESIS DE LICENCIATURA EN COMPUTACIÓN,1860,1
9,TOPOGRAFÍA 1,1527,9
9,TOPOGRAFÍA 3,1524,11
9,TOPOLOGÍA Y ANÁLISIS REAL,1886,3
Otros,TRANSFERENCIA DE CALOR,TIM41,26
8,TRANSFERENCIA DE CALOR Y MASA 2,Q68,98
1,TRANSFERENCIA DE CALOR 2,1824,79
2,TRANSPORTE DE SUSTANCIAS EN FLUJOS A SUPERFICIE LIBRE,1879,0
3,TRANSPORTE FERROVIARIO,2505,11
3,TRANSPORTE POR CARRETERA,2504,6
8,TRATAMIENTO DE EFLUENTES Y RESIDUOS SÓLIDOS,Q104,21
4,TRATAMIENTO DE IMÁGENES POR COMPUTADORA,5828,44
Otros,TUTORÍAS ENTRE PARES 1,2216,16
Otros,TUTORÍAS ENTRE PARES 2,2217,16